Run,Random State,Accuracy (%),ARI
1,43,57.81333333333334,0.3624750391153916
2,44,57.750476190476185,0.36183261973745434
3,45,52.80190476190476,0.31936081317499887
4,46,58.30285714285714,0.36296890286658484
5,47,58.87809523809524,0.3918637176507283
